Number of Breweries,Population
67,4799277.0
27,720316.0
155,6479703.0
56,2933369.0
902,37659181.0
308,5119329.0
53,3583561.0
24,908446.0
14,619371.0
272,19091156.0
77,9810417.0
24,1376298.0
46,1583364.0
234,12848554.0
144,6514861.0
106,3062553.0
33,2868107.0
51,4361333.0
36,4567968.0
325,1328320.0
125,5834299.0
107,6605058.0
270,9886095.0
111,5347740.0
13,2976872.0
125,6007182.0
73,998554.0
49,1841625.0
59,2730066.0
50,1319171.0
152,8832406.0
49,2069706.0
461,19487053.0
184,9651380.0
5,689781.0
376,11549590.0
25,3785742.0
298,3868721.0
402,12731381.0
20,1051695.0
60,4679602.0
14,825198.0
95,6402387.0
314,25639373.0
33,2813673.0
57,625904.0
175,8100653.0
342,6819579.0
32,1853619.0
326,5706871.0
16,570134.0
