Name,Population,Median Age,Household Income,Per Capita Income,Number of Males,Number of Females
Alabama,4799277.0,38.1,43253.0,23680.0,2328592.0,2470685.0
Alaska,720316.0,33.6,70760.0,32651.0,375798.0,344518.0
Arizona,6479703.0,36.3,49774.0,25358.0,3221367.0,3258336.0
Arkansas,2933369.0,37.5,40768.0,22170.0,1439862.0,1493507.0
California,37659181.0,35.4,61094.0,29527.0,18726468.0,18932713.0
Colorado,5119329.0,36.1,58433.0,31109.0,2568343.0,2550986.0
Connecticut,3583561.0,40.2,69461.0,37892.0,1745364.0,1838197.0
Delaware,908446.0,38.9,59878.0,29819.0,439985.0,468461.0
District of Columbia,619371.0,33.8,65830.0,45290.0,293104.0,326267.0
Florida,19091156.0,41.0,46956.0,26236.0,9332589.0,9758567.0
Georgia,9810417.0,35.6,49179.0,25182.0,4793940.0,5016477.0
Hawaii,1376298.0,38.3,67402.0,29305.0,691426.0,684872.0
Idaho,1583364.0,34.9,46767.0,22568.0,793708.0,789656.0
Illinois,12848554.0,36.8,56797.0,29666.0,6304099.0,6544455.0
Indiana,6514861.0,37.1,48248.0,24635.0,3206295.0,3308566.0
Iowa,3062553.0,38.1,51843.0,27027.0,1516152.0,1546401.0
Kansas,2868107.0,36.0,51332.0,26929.0,1425049.0,1443058.0
Kentucky,4361333.0,38.2,43036.0,23462.0,2145986.0,2215347.0
Louisiana,4567968.0,36.0,44874.0,24442.0,2234939.0,2333029.0
Maine,1328320.0,43.2,48453.0,26824.0,649600.0,678720.0
Maryland,5834299.0,38.0,73538.0,36354.0,2824531.0,3009768.0
Massachusetts,6605058.0,39.2,66866.0,35763.0,3197502.0,3407556.0
Michigan,9886095.0,39.1,48411.0,25681.0,4851302.0,5034793.0
Minnesota,5347740.0,37.6,59836.0,30913.0,2655658.0,2692082.0
Mississippi,2976872.0,36.2,39031.0,20618.0,1445356.0,1531516.0
Missouri,6007182.0,38.0,47380.0,25649.0,2941951.0,3065231.0
Montana,998554.0,39.9,46230.0,25373.0,501549.0,497005.0
Nebraska,1841625.0,36.3,51672.0,26899.0,913478.0,928147.0
Nevada,2730066.0,36.6,52800.0,26589.0,1377138.0,1352928.0
New Hampshire,1319171.0,41.5,64916.0,33134.0,651106.0,668065.0
New Jersey,8832406.0,39.1,71629.0,36027.0,4304817.0,4527589.0
New Mexico,2069706.0,36.7,44927.0,23763.0,1024290.0,1045416.0
New York,19487053.0,38.1,58003.0,32382.0,9442496.0,10044557.0
North Carolina,9651380.0,37.6,46334.0,25284.0,4702565.0,4948815.0
North Dakota,689781.0,36.4,53741.0,29732.0,349947.0,339834.0
Ohio,11549590.0,39.0,48308.0,26046.0,5642666.0,5906924.0
Oklahoma,3785742.0,36.2,45339.0,24208.0,1873875.0,1911867.0
Oregon,3868721.0,38.7,50229.0,26809.0,1914014.0,1954707.0
Pennsylvania,12731381.0,40.3,52548.0,28502.0,6211805.0,6519576.0
Rhode Island,1051695.0,39.6,56361.0,30469.0,508455.0,543240.0
South Carolina,4679602.0,38.1,44779.0,23943.0,2276305.0,2403297.0
South Dakota,825198.0,36.9,49495.0,25740.0,414382.0,410816.0
Tennessee,6402387.0,38.2,44298.0,24409.0,3120796.0,3281591.0
Texas,25639373.0,33.8,51900.0,26019.0,12729156.0,12910217.0
Utah,2813673.0,29.6,58821.0,23873.0,1414267.0,1399406.0
Vermont,625904.0,42.0,54267.0,29167.0,308544.0,317360.0
Virginia,8100653.0,37.5,63907.0,33493.0,3977926.0,4122727.0
Washington,6819579.0,37.3,59478.0,30742.0,3401539.0,3418040.0
West Virginia,1853619.0,41.5,41043.0,22966.0,913201.0,940418.0
Wisconsin,5706871.0,38.7,52413.0,27523.0,2832906.0,2873965.0
Wyoming,570134.0,36.8,57406.0,28902.0,291223.0,278911.0
Puerto Rico,3682966.0,37.5,19624.0,11068.0,1763291.0,1919675.0
