postal_code,Population,Median Age,Household Income,Per Capita Income,Number of Males,Number of Females
08518,5217.0,41.5,74286.0,33963.0,2539.0,2678.0
08520,27468.0,37.4,90293.0,37175.0,14319.0,13149.0
08525,4782.0,47.1,118656.0,59848.0,2325.0,2457.0
08527,54867.0,42.2,88588.0,37021.0,26774.0,28093.0
08528,245.0,48.5,58676.0,49117.0,120.0,125.0
08530,7568.0,43.8,87396.0,46371.0,4078.0,3490.0
08533,6789.0,41.0,85301.0,30981.0,3584.0,3205.0
08534,13312.0,44.1,144250.0,66609.0,6584.0,6728.0
08535,5657.0,43.5,147853.0,59097.0,2879.0,2778.0
08536,19944.0,34.0,90089.0,46406.0,9520.0,10424.0
08540,47316.0,37.5,125439.0,61810.0,22724.0,24592.0
08542,4756.0,26.3,71393.0,37662.0,2510.0,2246.0
08550,19357.0,43.4,169661.0,70463.0,9365.0,9992.0
08551,5212.0,43.4,121154.0,54299.0,2749.0,2463.0
08553,543.0,51.6,90972.0,57618.0,276.0,267.0
08554,4023.0,39.6,71750.0,30004.0,1829.0,2194.0
08555,812.0,40.3,78083.0,30321.0,410.0,402.0
08558,6495.0,44.2,154236.0,68556.0,3044.0,3451.0
08559,5226.0,48.4,108871.0,56242.0,2572.0,2654.0
08560,3249.0,47.0,113333.0,59497.0,1768.0,1481.0
08561,0.0,-666666666.0,-666666666.0,-666666666.0,0.0,0.0
08562,5713.0,34.9,65036.0,26970.0,2746.0,2967.0
08608,921.0,37.6,14861.0,13521.0,320.0,601.0
08609,14884.0,33.0,27073.0,15337.0,8446.0,6438.0
08610,29222.0,38.5,61016.0,28416.0,14102.0,15120.0
08611,26477.0,32.3,38672.0,16727.0,14404.0,12073.0
08618,38057.0,32.5,41757.0,21134.0,17631.0,20426.0
08619,23175.0,42.3,72330.0,34252.0,11021.0,12154.0
08620,12638.0,43.2,88438.0,33407.0,6115.0,6523.0
08628,9579.0,42.7,80449.0,39103.0,5040.0,4539.0
08629,12450.0,32.6,54956.0,21054.0,5746.0,6704.0
08638,23466.0,38.0,58371.0,24937.0,11388.0,12078.0
08640,7381.0,35.1,68108.0,13835.0,6002.0,1379.0
08641,4134.0,22.7,49980.0,16262.0,2433.0,1701.0
08648,32300.0,37.2,86451.0,38044.0,15246.0,17054.0
08690,18766.0,46.5,96192.0,40979.0,8738.0,10028.0
08691,15431.0,41.6,109293.0,51883.0,7189.0,8242.0
08701,92586.0,23.2,40240.0,14769.0,46211.0,46375.0
08720,1031.0,28.1,104310.0,43403.0,416.0,615.0
08721,20789.0,41.4,78847.0,33094.0,10340.0,10449.0
08722,11105.0,35.0,80386.0,30816.0,5391.0,5714.0
08723,31769.0,43.1,66233.0,33114.0,15294.0,16475.0
08724,42866.0,43.7,69797.0,33568.0,20158.0,22708.0
08730,4782.0,46.8,111875.0,52622.0,2369.0,2413.0
08731,19868.0,42.6,64357.0,30511.0,10016.0,9852.0
08732,1553.0,49.8,74375.0,39906.0,687.0,866.0
08733,2787.0,33.0,60556.0,24717.0,1357.0,1430.0
08734,7907.0,43.3,86357.0,36882.0,3954.0,3953.0
08735,3283.0,61.7,63200.0,44956.0,1492.0,1791.0
08736,12372.0,48.2,94250.0,55065.0,5902.0,6470.0
08738,964.0,63.5,123750.0,92818.0,449.0,515.0
08740,1961.0,41.8,62857.0,29916.0,923.0,1038.0
08741,2591.0,40.3,86146.0,34881.0,1236.0,1355.0
08742,24377.0,43.8,77700.0,39316.0,11214.0,13163.0
08750,3596.0,52.1,103875.0,65829.0,1707.0,1889.0
08751,4248.0,49.8,32733.0,24775.0,1985.0,2263.0
08752,1897.0,62.7,59028.0,41314.0,941.0,956.0
08753,63891.0,40.3,76202.0,34756.0,31739.0,32152.0
08755,25737.0,45.7,68109.0,36202.0,12032.0,13705.0
08757,33041.0,64.3,36595.0,25393.0,14016.0,19025.0
08758,7512.0,53.6,70546.0,33778.0,3871.0,3641.0
08759,33033.0,69.0,35984.0,28401.0,14165.0,18868.0
08801,8662.0,35.9,114050.0,45052.0,5107.0,3555.0
08802,3603.0,43.3,110884.0,49471.0,1828.0,1775.0
08804,2679.0,42.2,103190.0,45405.0,1330.0,1349.0
08805,12340.0,35.7,67040.0,31531.0,6574.0,5766.0
08807,38241.0,41.4,112474.0,46495.0,18138.0,20103.0
08808,52.0,40.3,54167.0,29587.0,28.0,24.0
08809,6471.0,41.0,95201.0,38696.0,2953.0,3518.0
08810,9163.0,37.9,108283.0,40927.0,4253.0,4910.0
08812,14330.0,40.1,94562.0,41983.0,7062.0,7268.0
08816,46550.0,42.2,96067.0,41839.0,22485.0,24065.0
08817,44646.0,35.5,85152.0,33677.0,22680.0,21966.0
08820,39878.0,41.0,112073.0,46672.0,19200.0,20678.0
08821,289.0,43.5,113250.0,44576.0,133.0,156.0
08822,30430.0,43.7,101922.0,47722.0,14462.0,15968.0
08823,9096.0,35.7,93903.0,45929.0,4742.0,4354.0
08824,12175.0,40.0,117863.0,43935.0,6111.0,6064.0
08825,4528.0,43.9,94079.0,39574.0,2143.0,2385.0
08826,5771.0,45.9,97452.0,45198.0,2924.0,2847.0
08827,4185.0,48.8,98400.0,42877.0,2008.0,2177.0
08828,2360.0,40.0,78958.0,34618.0,1098.0,1262.0
08829,3694.0,40.5,95282.0,42726.0,1886.0,1808.0
08830,18559.0,39.3,83581.0,33236.0,9245.0,9314.0
08831,46818.0,50.7,67676.0,42007.0,22136.0,24682.0
08832,2580.0,30.2,43900.0,21547.0,1238.0,1342.0
08833,9039.0,47.2,135259.0,75622.0,4412.0,4627.0
08835,10400.0,41.3,62583.0,29298.0,5261.0,5139.0
08836,3767.0,46.3,135547.0,63833.0,1846.0,1921.0
08837,16030.0,38.2,74589.0,35025.0,7868.0,8162.0
08840,16535.0,41.7,102196.0,46958.0,8076.0,8459.0
08844,38907.0,39.8,112923.0,46019.0,18366.0,20541.0
08846,13703.0,41.6,80833.0,33458.0,6334.0,7369.0
08848,8371.0,46.3,102852.0,44983.0,4294.0,4077.0
08850,8274.0,42.6,97120.0,41082.0,3987.0,4287.0
08852,17233.0,38.1,102950.0,42303.0,8396.0,8837.0
08853,5542.0,42.9,122500.0,49686.0,2810.0,2732.0
08854,56874.0,33.2,91164.0,32262.0,28039.0,28835.0
08857,40271.0,40.5,92725.0,38319.0,19548.0,20723.0
08858,170.0,66.8,79444.0,70244.0,108.0,62.0
08859,21594.0,38.9,79835.0,35353.0,10475.0,11119.0
08861,53415.0,33.0,45601.0,19501.0,26124.0,27291.0
08863,12342.0,38.8,74836.0,31089.0,5802.0,6540.0
08865,29824.0,40.9,55599.0,27067.0,14089.0,15735.0
08867,5436.0,45.5,114174.0,49652.0,2735.0,2701.0
08869,7058.0,37.8,76250.0,35079.0,3269.0,3789.0
08872,20041.0,37.7,72956.0,32666.0,9865.0,10176.0
08873,51048.0,40.0,85148.0,37985.0,24428.0,26620.0
08876,22268.0,39.8,89242.0,41896.0,11126.0,11142.0
08879,22974.0,40.9,72508.0,34654.0,11122.0,11852.0
08880,4584.0,35.9,71607.0,31046.0,2281.0,2303.0
08882,16079.0,38.6,66327.0,27054.0,8359.0,7720.0
08884,8309.0,41.9,76681.0,33593.0,4096.0,4213.0
08886,7071.0,40.9,109970.0,42475.0,3450.0,3621.0
08887,1079.0,43.5,64205.0,39043.0,459.0,620.0
08889,9934.0,44.7,124712.0,60270.0,4760.0,5174.0
08890,0.0,-666666666.0,-666666666.0,-666666666.0,0.0,0.0
08901,55476.0,23.1,39901.0,14614.0,27882.0,27594.0
08902,41774.0,36.3,81531.0,35200.0,20844.0,20930.0
08904,14136.0,33.3,73789.0,39800.0,6905.0,7231.0
10001,21966.0,34.7,81671.0,82166.0,10732.0,11234.0
10002,82191.0,39.8,33218.0,26227.0,39802.0,42389.0
10003,57310.0,32.3,92540.0,74189.0,27442.0,29868.0
10004,2807.0,33.1,129313.0,108786.0,1469.0,1338.0
10005,6822.0,28.6,124670.0,102849.0,3463.0,3359.0
10006,2507.0,31.3,119274.0,101271.0,1137.0,1370.0
10007,6525.0,34.0,216037.0,157713.0,3661.0,2864.0
10009,62810.0,36.3,59929.0,43893.0,28842.0,33968.0
10010,30670.0,35.1,97955.0,79491.0,14327.0,16343.0
10011,52167.0,39.7,104238.0,110631.0,26039.0,26128.0
10012,26145.0,34.1,86594.0,72914.0,13691.0,12454.0
10013,26065.0,36.4,83725.0,90699.0,12862.0,13203.0
10014,30597.0,36.7,108483.0,106068.0,15172.0,15425.0
10016,51196.0,32.8,105324.0,87986.0,23097.0,28099.0
10017,16129.0,37.2,100652.0,101239.0,7469.0,8660.0
10018,7021.0,30.9,104635.0,75598.0,3650.0,3371.0
10019,38394.0,38.8,84424.0,84966.0,18818.0,19576.0
10020,0.0,-666666666.0,-666666666.0,-666666666.0,0.0,0.0
10021,40862.0,42.7,107907.0,120077.0,17521.0,23341.0
10022,29618.0,45.3,109019.0,129778.0,13007.0,16611.0
10023,61315.0,41.3,103534.0,99496.0,28947.0,32368.0
10024,59164.0,41.8,109956.0,97633.0,27166.0,31998.0
10025,97390.0,38.2,68516.0,55843.0,43572.0,53818.0
10026,37871.0,33.6,43107.0,28674.0,17885.0,19986.0
10027,62617.0,30.7,37872.0,27349.0,28142.0,34475.0
10028,44295.0,40.3,104638.0,107679.0,19674.0,24621.0
10029,77454.0,33.5,31888.0,25270.0,36560.0,40894.0
10030,28472.0,34.0,31925.0,23992.0,13569.0,14903.0
10031,59092.0,33.0,37655.0,23322.0,28360.0,30732.0
10032,59374.0,34.5,34568.0,19005.0,29080.0,30294.0
10033,58710.0,35.9,41556.0,23403.0,29934.0,28776.0
10034,41510.0,36.5,41171.0,22909.0,21088.0,20422.0
10035,33488.0,34.2,24533.0,19541.0,16147.0,17341.0
10036,23132.0,38.2,66599.0,68213.0,13452.0,9680.0
10037,17377.0,37.6,37341.0,25535.0,7015.0,10362.0
10038,20082.0,32.4,66074.0,58768.0,9312.0,10770.0
10039,26577.0,33.3,33595.0,19675.0,12415.0,14162.0
10040,44825.0,37.0,42721.0,23593.0,20300.0,24525.0
10044,12346.0,40.2,83066.0,43053.0,5966.0,6380.0
10065,32797.0,38.9,115519.0,119546.0,14184.0,18613.0
10069,5118.0,38.1,170630.0,123349.0,2634.0,2484.0
10075,24849.0,40.9,102941.0,106575.0,10280.0,14569.0
10103,0.0,-666666666.0,-666666666.0,-666666666.0,0.0,0.0
10110,2.0,-666666666.0,-666666666.0,,1.0,1.0
10111,0.0,-666666666.0,-666666666.0,-666666666.0,0.0,0.0
10112,0.0,-666666666.0,-666666666.0,-666666666.0,0.0,0.0
10115,0.0,-666666666.0,-666666666.0,-666666666.0,0.0,0.0
10119,0.0,-666666666.0,-666666666.0,-666666666.0,0.0,0.0
10128,60121.0,38.8,96296.0,89300.0,25724.0,34397.0
10152,0.0,-666666666.0,-666666666.0,-666666666.0,0.0,0.0
10153,0.0,-666666666.0,-666666666.0,-666666666.0,0.0,0.0
10154,0.0,-666666666.0,-666666666.0,-666666666.0,0.0,0.0
10162,1327.0,39.7,168667.0,106304.0,726.0,601.0
10165,0.0,-666666666.0,-666666666.0,-666666666.0,0.0,0.0
10167,0.0,-666666666.0,-666666666.0,-666666666.0,0.0,0.0
10168,0.0,-666666666.0,-666666666.0,-666666666.0,0.0,0.0
10169,0.0,-666666666.0,-666666666.0,-666666666.0,0.0,0.0
10170,0.0,-666666666.0,-666666666.0,-666666666.0,0.0,0.0
10171,0.0,-666666666.0,-666666666.0,-666666666.0,0.0,0.0
10172,0.0,-666666666.0,-666666666.0,-666666666.0,0.0,0.0
10173,0.0,-666666666.0,-666666666.0,-666666666.0,0.0,0.0
10174,0.0,-666666666.0,-666666666.0,-666666666.0,0.0,0.0
10177,0.0,-666666666.0,-666666666.0,-666666666.0,0.0,0.0
10199,0.0,-666666666.0,-666666666.0,-666666666.0,0.0,0.0
10271,0.0,-666666666.0,-666666666.0,-666666666.0,0.0,0.0
10278,0.0,-666666666.0,-666666666.0,-666666666.0,0.0,0.0
10279,0.0,-666666666.0,-666666666.0,-666666666.0,0.0,0.0
10280,8685.0,37.9,129574.0,82005.0,4233.0,4452.0
10282,6217.0,33.9,230952.0,121627.0,3489.0,2728.0
10301,38885.0,34.7,56848.0,27952.0,19500.0,19385.0
10302,16811.0,34.0,56841.0,24198.0,8145.0,8666.0
10303,24537.0,31.1,51537.0,22077.0,11419.0,13118.0
10304,43084.0,34.8,53168.0,27103.0,20075.0,23009.0
10305,42006.0,39.9,70758.0,30172.0,20242.0,21764.0
10306,55902.0,41.4,75807.0,34834.0,26875.0,29027.0
10307,14829.0,37.4,86457.0,36028.0,7315.0,7514.0
10308,28939.0,42.6,88075.0,38275.0,13864.0,15075.0
10309,32646.0,38.5,86297.0,35719.0,16473.0,16173.0
10310,25227.0,34.1,61925.0,27923.0,12487.0,12740.0
10311,0.0,-666666666.0,-666666666.0,-666666666.0,0.0,0.0
10312,60081.0,41.2,85324.0,36128.0,30010.0,30071.0
10314,87276.0,41.0,77242.0,32807.0,41432.0,45844.0
10451,47069.0,31.2,26754.0,14629.0,21045.0,26024.0
10452,74931.0,30.4,25979.0,13019.0,35135.0,39796.0
10453,79793.0,30.7,25470.0,12616.0,37659.0,42134.0
10454,38089.0,29.3,20232.0,11561.0,18151.0,19938.0
10455,38576.0,28.7,22609.0,12231.0,17958.0,20618.0
10456,87723.0,30.3,23452.0,12486.0,41312.0,46411.0
10457,70282.0,29.0,24949.0,12952.0,32833.0,37449.0
10458,74859.0,29.2,24618.0,14488.0,35375.0,39484.0
10459,47977.0,28.6,24461.0,12436.0,22748.0,25229.0
10460,56084.0,30.0,22307.0,12828.0,26378.0,29706.0
10461,51730.0,38.2,52347.0,26630.0,25227.0,26503.0
10462,77369.0,35.3,45864.0,21836.0,36156.0,41213.0
10463,70420.0,38.8,54258.0,30875.0,32184.0,38236.0
10464,4248.0,48.7,70078.0,39454.0,1816.0,2432.0
10465,44862.0,40.1,65450.0,29953.0,21577.0,23285.0
10466,70609.0,35.9,44012.0,19925.0,31429.0,39180.0
10467,98754.0,32.4,36048.0,18137.0,46656.0,52098.0
10468,71822.0,32.0,33776.0,15537.0,33969.0,37853.0
10469,71843.0,36.2,57776.0,22960.0,32606.0,39237.0
10470,14850.0,36.2,58600.0,28734.0,7403.0,7447.0
10471,22030.0,43.6,71798.0,43630.0,10432.0,11598.0
10472,68898.0,30.4,30288.0,14652.0,33278.0,35620.0
10473,58660.0,36.1,35866.0,19561.0,25617.0,33043.0
10474,12519.0,29.1,25676.0,11410.0,6209.0,6310.0
10475,43231.0,46.5,43629.0,25870.0,19528.0,23703.0
10501,1217.0,39.9,143529.0,62287.0,596.0,621.0
10502,5346.0,46.0,135139.0,59920.0,2513.0,2833.0
10503,158.0,59.1,135192.0,59994.0,53.0,105.0
10504,7960.0,40.5,182292.0,97947.0,3904.0,4056.0
10505,638.0,40.6,167885.0,55017.0,282.0,356.0
10506,5448.0,44.1,180823.0,92213.0,2639.0,2809.0
10507,6801.0,39.9,70557.0,45812.0,2836.0,3965.0
10509,20209.0,41.1,90437.0,41563.0,10134.0,10075.0
10510,10166.0,44.4,144414.0,75075.0,4595.0,5571.0
10511,2260.0,44.5,89107.0,51594.0,1140.0,1120.0
10512,24778.0,42.5,87802.0,39376.0,12248.0,12530.0
10514,13256.0,39.9,202414.0,91961.0,6660.0,6596.0
10516,5223.0,43.2,81442.0,44447.0,2716.0,2507.0
10517,622.0,31.4,90200.0,31859.0,294.0,328.0
10518,1390.0,46.0,192045.0,74505.0,652.0,738.0
10519,166.0,49.5,124208.0,52513.0,55.0,111.0
10520,13113.0,46.3,102807.0,55099.0,6170.0,6943.0
10522,10948.0,41.5,105000.0,47914.0,5321.0,5627.0
10523,8029.0,34.6,81667.0,31742.0,4171.0,3858.0
10524,4488.0,47.7,114760.0,51545.0,2288.0,2200.0
10526,1571.0,41.5,101750.0,72202.0,690.0,881.0
10527,1145.0,43.7,194872.0,60919.0,597.0,548.0
10528,12692.0,39.3,99888.0,57104.0,6198.0,6494.0
10530,11891.0,48.9,92923.0,59748.0,5362.0,6529.0
10532,5074.0,44.0,110484.0,42864.0,2465.0,2609.0
10533,7662.0,43.9,131522.0,82337.0,3513.0,4149.0
10535,796.0,37.5,90500.0,35797.0,344.0,452.0
10536,10719.0,44.4,153750.0,69441.0,5509.0,5210.0
10537,2242.0,37.3,81259.0,32716.0,1099.0,1143.0
10538,16673.0,42.1,160964.0,94794.0,8078.0,8595.0
10541,26643.0,42.0,106890.0,40222.0,13453.0,13190.0
10543,20157.0,40.9,87316.0,53168.0,9715.0,10442.0
10545,126.0,63.6,-666666666.0,9276.0,126.0,0.0
10546,1092.0,41.5,116726.0,71264.0,538.0,554.0
10547,7421.0,39.6,81820.0,35618.0,3624.0,3797.0
10548,3089.0,49.0,93000.0,43271.0,1572.0,1517.0
10549,15798.0,38.2,81839.0,53118.0,8090.0,7708.0
10550,36804.0,34.3,39954.0,21310.0,16531.0,20273.0
10552,20815.0,40.9,64001.0,38778.0,9498.0,11317.0
10553,9895.0,40.7,58514.0,26137.0,4280.0,5615.0
10560,4786.0,51.0,127604.0,69264.0,2297.0,2489.0
10562,31502.0,39.0,74896.0,35764.0,16374.0,15128.0
10566,23702.0,39.7,58226.0,30011.0,11915.0,11787.0
10567,20241.0,42.6,105199.0,45174.0,9675.0,10566.0
10570,12735.0,39.2,123778.0,58914.0,6318.0,6417.0
10573,38429.0,38.3,66629.0,37421.0,19271.0,19158.0
10576,4948.0,49.2,154643.0,88349.0,2159.0,2789.0
10577,5823.0,20.3,228487.0,60184.0,2386.0,3437.0
10578,534.0,52.5,130260.0,46810.0,238.0,296.0
10579,8969.0,42.9,102188.0,43600.0,4491.0,4478.0
10580,17241.0,41.6,153640.0,96768.0,8109.0,9132.0
10583,39601.0,42.7,168571.0,89234.0,19445.0,20156.0
10588,2389.0,42.0,71686.0,38745.0,1050.0,1339.0
10589,9158.0,53.5,98462.0,60592.0,4137.0,5021.0
10590,6926.0,44.2,126012.0,62068.0,3483.0,3443.0
10591,22890.0,39.3,80814.0,46546.0,11127.0,11763.0
10594,5020.0,38.6,114286.0,41069.0,2639.0,2381.0
10595,8407.0,39.1,107708.0,38723.0,4728.0,3679.0
10596,1270.0,37.7,52051.0,24923.0,673.0,597.0
10597,1233.0,42.3,189737.0,91911.0,577.0,656.0
10598,29234.0,44.4,106576.0,46099.0,13813.0,15421.0
10601,10623.0,38.6,67754.0,49184.0,4938.0,5685.0
10603,18142.0,36.5,91903.0,42062.0,8145.0,9997.0
10604,11863.0,40.5,83842.0,49657.0,6256.0,5607.0
10605,18337.0,41.7,108047.0,56927.0,8995.0,9342.0
10606,16632.0,37.6,68368.0,35483.0,8449.0,8183.0
10607,7098.0,41.0,132857.0,53241.0,3745.0,3353.0
10701,61167.0,34.5,43767.0,23782.0,29147.0,32020.0
10703,20390.0,38.0,57116.0,25535.0,9984.0,10406.0
10704,30516.0,40.6,67091.0,32964.0,14460.0,16056.0
10705,39924.0,33.1,47358.0,22065.0,18583.0,21341.0
10706,8555.0,46.4,125960.0,66392.0,4352.0,4203.0
10707,10479.0,38.8,94897.0,49415.0,4900.0,5579.0
10708,21809.0,43.8,95815.0,67064.0,10091.0,11718.0
10709,9303.0,43.1,92098.0,49535.0,4636.0,4667.0
10710,26432.0,44.2,76526.0,37514.0,12317.0,14115.0
10801,41093.0,35.1,54504.0,27655.0,19998.0,21095.0
