postal_code,Population,Median Age,Household Income,Per Capita Income,Number of Males,Number of Females,brewery_type,city,country,id,latitude,longitude,name,phone,state,street,tag_list,updated_at,website_url
08525,4782.0,47.1,118656.0,59848.0,2325.0,2457.0,micro,Hopewell,United States,4476,40.3922451018063,-74.7502288904966,Troon Brewing,,New Jersey,130 Hopewell Rocky Hill Rd # 5,[],2018-08-24T15:37:10.421Z,http://www.troonbrewing.com
08534,13312.0,44.1,144250.0,66609.0,6584.0,6728.0,micro,Pennington,United States,4469,,,The Referend Bier Blendery,6094740443,New Jersey,1595 Reed Rd Unit 2,[],2018-08-11T21:38:25.324Z,http://www.thereferend.com
08542,4756.0,26.3,71393.0,37662.0,2510.0,2246.0,brewpub,Princeton,United States,4475,,,Triumph Brewing Co of Princeton,6099247855,New Jersey,138 Nassau St Ste A,[],2018-08-11T21:38:25.507Z,http://www.triumphbrew.com
08628,9579.0,42.7,80449.0,39103.0,5040.0,4539.0,micro,Ewing,United States,4459,40.2765378,-74.7965617792942,River Horse Brewing Company,6098830890,New Jersey,2 Graphics Dr,[],2018-08-24T15:37:03.957Z,http://www.riverhorse.com
08701,92586.0,23.2,40240.0,14769.0,46211.0,46375.0,micro,Lakewood,United States,4430,,,Icarus Brewing Company,,New Jersey,1790 Swarthmore Ave Unit 3 Lot 2,[],2018-08-11T21:38:23.889Z,http://www.icarusbrewing.com
08731,19868.0,42.6,64357.0,30511.0,10016.0,9852.0,micro,Forked River,United States,4373,,,Backward Flag Brewing,,New Jersey,699 Challenger Way Ste D5,[],2018-08-11T21:38:21.937Z,http://www.backwardflagbrewing.com
08736,12372.0,48.2,94250.0,55065.0,5902.0,6470.0,planning,Manasquan,United States,4412,,,East Fifth Brewing Company,,New Jersey,,[],2018-08-11T21:38:23.231Z,
08742,24377.0,43.8,77700.0,39316.0,11214.0,13163.0,micro,Point Pleasant Boro,United States,4419,,,Frye Brewing,7326044263,New Jersey,2257 Bridge Ave,[],2018-08-11T21:38:23.495Z,http://Www.fryebrewingco.com
08742,24377.0,43.8,77700.0,39316.0,11214.0,13163.0,micro,Point Pleasant Beach,United States,4441,40.089573,-74.051905,Last Wave Brewing Co,7329035278,New Jersey,601 Bay Ave,[],2018-08-24T15:36:56.202Z,http://www.lastwavebrewing.com
08751,4248.0,49.8,32733.0,24775.0,1985.0,2263.0,micro,Seaside Heights,United States,4425,,,Heavy Reel Brewing,7322502879,New Jersey,613 Boulevard,[],2018-08-11T21:38:23.742Z,http://www.heavyreelbrewingco.com
