city,Population,Household Income,Median Age,Number of Breweries in City,Market Segment Counts
Portland,24340.783018867925,51154.09433962264,35.798113207547225,106,Mature
Denver,26995.641304347828,48279.967391304344,32.81847826086954,92,Mature
San Diego,36010.26373626374,71556.02197802198,33.65604395604394,91,Mature
Seattle,27708.465753424658,61992.109589041094,35.864383561643834,73,Mature
Chicago,55823.584615384614,61812.78461538462,32.88615384615383,65,Mature
Austin,30107.666666666668,60250.31481481482,33.579629629629636,54,Mature
San Francisco,36714.820512820515,82956.89743589744,37.57435897435898,39,Mature
Minneapolis,20071.13157894737,51655.44736842105,32.83157894736843,38,Mature
Columbus,24985.555555555555,45719.13888888889,32.780555555555544,36,Mature
Indianapolis,24242.5,44772.705882352944,34.4470588235294,34,Mature
Richmond,24979.41176470588,53208.67647058824,36.64117647058825,34,Mature
Cincinnati,15144.235294117647,47079.05882352941,35.155882352941184,34,Mature
Houston,29096.78787878788,64258.666666666664,35.02424242424242,33,Mature
Charlotte,28085.5,43762.09375,32.137499999999996,32,Mature
Albuquerque,34395.28125,43525.0625,36.85937500000001,32,Mature
Cleveland,19417.466666666667,30736.466666666667,33.01999999999999,30,Mature
Milwaukee,28453.5,39338.066666666666,30.76333333333334,30,Mature
Grand Rapids,31805.714285714286,43566.03571428572,32.92500000000001,28,Mature
Brooklyn,56610.42857142857,61068.42857142857,33.37142857142856,28,Mature
Colorado Springs,22256.35714285714,51305.71428571428,36.29285714285715,28,Mature
Boulder,24616.74074074074,61725.333333333336,35.29999999999999,27,Mature
Asheville,22346.185185185186,36091.51851851852,38.32222222222223,27,Mature
Pittsburgh,19983.5,44015.153846153844,38.54230769230769,26,Mature
Philadelphia,27552.44,45522.48,32.89200000000001,25,Mature
Louisville,18538.36,48015.92,37.084,25,Mature
Saint Louis,18543.958333333332,39687.416666666664,33.762499999999996,24,Up and Coming
Dallas,20891.916666666668,56281.625,34.45000000000001,24,Up and Coming
Saint Paul,16422.708333333332,46671.75,34.47916666666667,24,Up and Coming
Los Angeles,31741.304347826088,44592.69565217391,36.83043478260869,23,Up and Coming
Washington,28363.304347826088,73431.65217391304,38.160869565217375,23,Up and Coming
Nashville,20422.347826086956,40591.82608695652,32.952173913043474,23,Up and Coming
Spokane,23251.217391304348,36741.52173913043,35.330434782608684,23,Up and Coming
Fort Collins,37654.608695652176,58666.95652173913,34.42608695652174,23,Up and Coming
Wilmington,28834.090909090908,36719.86363636364,34.12727272727272,22,Up and Coming
Raleigh,30579.409090909092,62127.818181818184,34.68636363636364,22,Up and Coming
Knoxville,23096.636363636364,42992.681818181816,37.99999999999999,22,Up and Coming
Atlanta,30461.545454545456,56271.5,32.91363636363636,22,Up and Coming
Madison,29870.0,53795.90476190476,33.82857142857143,21,Up and Coming
Baltimore,30448.8,49357.5,33.66,20,Up and Coming
Sacramento,21305.4,48327.35,34.62999999999999,20,Up and Coming
Tampa,24534.65,39935.8,35.49,20,Up and Coming
Salem,33223.78947368421,57175.21052631579,40.86842105263156,19,Up and Coming
Kansas City,10962.21052631579,42638.63157894737,36.79473684210525,19,Up and Coming
Reno,25771.894736842107,36667.05263157895,38.86842105263157,19,Up and Coming
Salt Lake City,19587.052631578947,37168.73684210526,31.915789473684214,19,Up and Coming
Lexington,29149.63157894737,41429.52631578947,32.657894736842096,19,Up and Coming
Rochester,30166.78947368421,45931.36842105263,33.457894736842114,19,Up and Coming
Tucson,39423.05263157895,34448.78947368421,33.8578947368421,19,Up and Coming
Tacoma,14674.5,42751.833333333336,33.89999999999999,18,Up and Coming
Columbia,30543.166666666668,45845.77777777778,28.09444444444445,18,Up and Coming
Buffalo,17607.38888888889,41439.944444444445,38.022222222222226,18,Up and Coming
Bend,53158.666666666664,55015.0,39.899999999999984,18,Up and Coming
Springfield,20595.333333333332,38849.055555555555,36.56666666666667,18,Up and Coming
Phoenix,21521.444444444445,41057.22222222222,36.67222222222223,18,Up and Coming
Greenville,28477.29411764706,47801.35294117647,36.70588235294118,17,Up and Coming
Eugene,43127.470588235294,35612.82352941176,32.482352941176465,17,Up and Coming
Auburn,29695.529411764706,53765.705882352944,41.98823529411766,17,Up and Coming
Charleston,26248.882352941175,38080.35294117647,34.911764705882355,17,Up and Coming
Vancouver,26952.058823529413,46539.0,36.05882352941177,17,Up and Coming
Jacksonville,19826.470588235294,38691.0,37.323529411764696,17,Up and Coming
Anaheim,45880.94117647059,62326.35294117647,32.77058823529413,17,Up and Coming
Vista,31945.9375,52664.5625,36.60625,16,Up and Coming
San Antonio,25876.6875,43468.5,35.51874999999999,16,Up and Coming
Oakland,25585.0625,46913.125,36.70624999999999,16,Up and Coming
Fayetteville,27731.1875,39754.0625,33.33749999999999,16,Up and Coming
Burlington,22134.733333333334,46741.333333333336,35.08666666666667,15,Up and Coming
Boise,26272.933333333334,49400.066666666666,36.2,15,Up and Coming
Las Vegas,29243.933333333334,51633.53333333333,37.46666666666667,15,Up and Coming
Santa Rosa,39306.333333333336,58956.26666666667,36.586666666666666,15,Up and Coming
