Name,Population,Median Age,Household Income,Per Capita Income,Number of Males,Number of Females,state
Alabama,4799277,38.1,43253,23680,2328592,2470685,Alabama
Alaska,720316,33.6,70760,32651,375798,344518,Alaska
Arizona,6479703,36.3,49774,25358,3221367,3258336,Arizona
Arkansas,2933369,37.5,40768,22170,1439862,1493507,Arkansas
California,37659181,35.4,61094,29527,18726468,18932713,California
Colorado,5119329,36.1,58433,31109,2568343,2550986,Colorado
Connecticut,3583561,40.2,69461,37892,1745364,1838197,Connecticut
Delaware,908446,38.9,59878,29819,439985,468461,Delaware
District of Columbia,619371,33.8,65830,45290,293104,326267,District of Columbia
Florida,19091156,41,46956,26236,9332589,9758567,Florida
Georgia,9810417,35.6,49179,25182,4793940,5016477,Georgia
Hawaii,1376298,38.3,67402,29305,691426,684872,Hawaii
Idaho,1583364,34.9,46767,22568,793708,789656,Idaho
Illinois,12848554,36.8,56797,29666,6304099,6544455,Illinois
Indiana,6514861,37.1,48248,24635,3206295,3308566,Indiana
Iowa,3062553,38.1,51843,27027,1516152,1546401,Iowa
Kansas,2868107,36,51332,26929,1425049,1443058,Kansas
Kentucky,4361333,38.2,43036,23462,2145986,2215347,Kentucky
Louisiana,4567968,36,44874,24442,2234939,2333029,Louisiana
Maine,1328320,43.2,48453,26824,649600,678720,Maine
Maryland,5834299,38,73538,36354,2824531,3009768,Maryland
Massachusetts,6605058,39.2,66866,35763,3197502,3407556,Massachusetts
Michigan,9886095,39.1,48411,25681,4851302,5034793,Michigan
Minnesota,5347740,37.6,59836,30913,2655658,2692082,Minnesota
Mississippi,2976872,36.2,39031,20618,1445356,1531516,Mississippi
Missouri,6007182,38,47380,25649,2941951,3065231,Missouri
Montana,998554,39.9,46230,25373,501549,497005,Montana
Nebraska,1841625,36.3,51672,26899,913478,928147,Nebraska
Nevada,2730066,36.6,52800,26589,1377138,1352928,Nevada
New Hampshire,1319171,41.5,64916,33134,651106,668065,New Hampshire
New Jersey,8832406,39.1,71629,36027,4304817,4527589,New Jersey
New Mexico,2069706,36.7,44927,23763,1024290,1045416,New Mexico
New York,19487053,38.1,58003,32382,9442496,10044557,New York
North Carolina,9651380,37.6,46334,25284,4702565,4948815,North Carolina
North Dakota,689781,36.4,53741,29732,349947,339834,North Dakota
Ohio,11549590,39,48308,26046,5642666,5906924,Ohio
Oklahoma,3785742,36.2,45339,24208,1873875,1911867,Oklahoma
Oregon,3868721,38.7,50229,26809,1914014,1954707,Oregon
Pennsylvania,12731381,40.3,52548,28502,6211805,6519576,Pennsylvania
Rhode Island,1051695,39.6,56361,30469,508455,543240,Rhode Island
South Carolina,4679602,38.1,44779,23943,2276305,2403297,South Carolina
South Dakota,825198,36.9,49495,25740,414382,410816,South Dakota
Tennessee,6402387,38.2,44298,24409,3120796,3281591,Tennessee
Texas,25639373,33.8,51900,26019,12729156,12910217,Texas
Utah,2813673,29.6,58821,23873,1414267,1399406,Utah
Vermont,625904,42,54267,29167,308544,317360,Vermont
Virginia,8100653,37.5,63907,33493,3977926,4122727,Virginia
Washington,6819579,37.3,59478,30742,3401539,3418040,Washington
West Virginia,1853619,41.5,41043,22966,913201,940418,West Virginia
Wisconsin,5706871,38.7,52413,27523,2832906,2873965,Wisconsin
Wyoming,570134,36.8,57406,28902,291223,278911,Wyoming
Puerto Rico,3682966,37.5,19624,11068,1763291,1919675,Puerto Rico
