brewery_name,address,categories,city,country,zip_code,state,Name,lat,long
49th State Brewing,717 W 3rd Ave,Brewery,Anchorage,US,99501,AK,Alaska,,
Arctic Brewing Supply,8401 Sandlewood Pl,"miscellaneous shop, Winemaking Equipment & Supplies, Brewer Equipment Supplies & Services, Breweries",Anchorage,US,99507,AK,Alaska,61.145509,-149.852717
Arkose Brewery Llc,650 E Steel Loop,"Brew Pubs, Brewers, Beer & Ale, Liquor Stores",Palmer,US,99645,AK,Alaska,61.581731,-149.105885
Baranof Island Brewing Company,215 Smith St,"Breweries, Food & Drink",Sitka,US,99835,AK,Alaska,57.05039,-135.30798
Bearpaw River Brewing Company,4605 E Palmer Wasilla Hwy,"Breweries, Food & Drink",Wasilla,US,99654,AK,Alaska,61.58523,-149.3367
Big Swig Tours,Undefined 4th Ave And F St,"Tours & Activities, Food & Drink, Tours, Brewery Tours, Tour",Anchorage,US,99501,AK,Alaska,61.21855,-149.8935
Brew Shop,3939 Lake St,"Winemaking Equipment & Supplies, Legal & Financial, Law Firms, Brewer Equipment Supplies & Services, lawyers, lawyer & legal services, attorney",Homer,US,99603,AK,Alaska,59.64703,-151.525711
Budget Liquor,5165 Glacier Hwy,"Food & Dining, Beverages, Breweries",Juneau,US,99801,AK,Alaska,,
Cascade Convenience Center,1211 A Smc,"Food & Dining, Beverages, Breweries, Retail Shopping, Convenience Stores",Sitka,US,99835,AK,Alaska,57.06,-135.31
Denali Winery,1301 E Dowling Rd,"Wineries, Brewers",Anchorage,US,99518,AK,Alaska,61.166945,-149.858585
Glacier Brewhouse,737 W 5th Ave (at H St),"Brewery, American Restaurant",Anchorage,US,99501,AK,Alaska,61.21773066,-149.8971176
Gold Star Liquor Store,1855 Van Horn Rd,"Retail Shopping, Convenience Stores, Shopping & Stores, Food & Dining, Beverages, Fairbanks Ak, Beverages Retail, Breweries, Alcoholic Beverages, Fairbanks Liquor Stores, Liquor Stores, Beer & Ale Retail",Fairbanks,US,99701,AK,Alaska,64.812828,-147.749164
Golden Ages,1271 9th Ave,"Fairbanks Ak, Government, Legislative Bodies, Fairbanks Government Offices-state, Food & Dining, Beverages, Breweries, Retail Shopping, Convenience Stores, places, office, state, program",Fairbanks,US,99701,AK,Alaska,64.842662,-147.741992
Homer Brewing Company,1411 Lakeshore Dr,"Travel and Tourism, Food & Drink, Breweries",Homer,US,99603,AK,Alaska,59.640095,-151.50653
Icy Strait Brewing,155,"Food & Drink, Breweries",Hoonah,US,99829,AK,Alaska,58.112988,-135.44841
Kodiak Island Brewing Company,117 Lower Mill Bay Rd,"Breweries, Food & Drink",Kodiak,US,99615,AK,Alaska,57.790543,-152.40704
La Bodega,3801 Old Seward Hwy,"Food & Dining, Beverages, Alcoholic Beverages, Retail Shopping, Convenience Stores, Breweries",Anchorage,US,99503,AK,Alaska,61.185627,-149.865829
Moose's Tooth Brewing Co.,2021 Spar Ave,"Brewers, Wineries",Anchorage,US,99501,AK,Alaska,61.222953,-149.842764
Oaken Keg,3033 Vintage Blvd,"Food & Dining, Beverages, Breweries",Juneau,US,99801,AK,Alaska,58.372976,-134.596892
Oaken Keg Spirit Shops,30 College Rd,"Food & Dining, Beverages, Breweries, Home, Fairbanks, Miscellaneous Retail, Liquor stores, Wine and beer",Fairbanks,US,99701,AK,Alaska,64.850856,-147.70459
Odom Company-west Coast Distributors,1920 Tongass Ave,"Food & Dining, Beverages, Alcoholic Beverages, Breweries, Ketchikan,  AK, Beer and Ale, Ketchikan Beer and Ale, (1)",Ketchikan,US,99901,AK,Alaska,,
Resolution Brewing Co.,3024 Mountain View Dr,Brewery,Anchorage,US,99501,AK,Alaska,,
Seward Brewing Co.,139 4th Ave,"Community, Brewery, Other Organizations",Seward,US,99664,AK,Alaska,60.10091793,-149.4407669
Silver Gulch Brewing & Bttlng,2195 Old Steese Hwy N,"Winemaking Equipment & Supplies, Pubs, Brewer Equipment Supplies & Services, Breweries",Fairbanks,US,99712,AK,Alaska,64.954628,-147.62747
Twister Creek Restaurant,13605 Main St,"American Restaurant, Brewery, Food & Dining, Beverages, Breweries, American, Burgers, Modern American, Talkeetna,  AK, Malt Beverages, Talkeetna Brewers, Brewers",Talkeetna,US,99676,AK,Alaska,62.3232467,-150.1140332
